outcome,participant_group,is_near_event,mean_share,n
call,procust,false,0.5632536213533006,22781
call,procust,true,0.5570560044368266,22781
call,retail,false,0.6334514892440863,22781
call,retail,true,0.6083776566239615,22781
itm,procust,false,0.15159644377596845,22781
itm,procust,true,0.15639379989245217,22781
itm,retail,false,0.1771957628081147,22781
itm,retail,true,0.16502415072016746,22781
lt_100,procust,false,0.8544371869413849,22781
lt_100,procust,true,0.9223597808172962,22781
lt_100,retail,false,0.7587673562750367,22781
lt_100,retail,true,0.8133582074960737,22781
open,procust,false,0.7779685784019482,22781
open,procust,true,0.7714167209254176,22781
open,retail,false,0.6092628337868724,22781
open,retail,true,0.6211399944669177,22781
otm,procust,false,0.6049260454176338,22781
otm,procust,true,0.5967696483341457,22781
otm,retail,false,0.6044871559485793,22781
otm,retail,true,0.6351439768790699,22781
otm_call,procust,false,0.34977278548353935,22781
otm_call,procust,true,0.33556246133185424,22781
otm_call,retail,false,0.373027011336472,22781
otm_call,retail,true,0.37504914600333916,22781
otm_put,procust,false,0.255153259934094,22781
otm_put,procust,true,0.26120718700229056,22781
otm_put,retail,false,0.23146014461210745,22781
otm_put,retail,true,0.26009483087573126,22781
