outcome,pooled_coef,pooled_p,pooled_n,from2016_coef,from2016_p,from2016_n,difference
otm,0.020863155865525784,1.171548648255881e-24,185416,0.03881321801397658,2.7421117124742967e-39,91124,0.017950062148450796
otm_put,0.01818765627659351,6.413656421040885e-25,185416,0.022580759195425,2.1295849598861528e-17,91124,0.004393102918831493
otm_call,0.0026754995889237735,0.1596661779851597,185416,0.016232458818553293,1.4230154110875417e-8,91124,0.013556959229629519
itm,-0.01226390921520959,2.2988677841048207e-13,185416,-0.016968968204431056,9.519395871223866e-15,91124,-0.004705058989221467
lt_100,0.010371450863476836,5.740364898682605e-8,185416,-0.013331742654876372,5.517827307480953e-6,91124,-0.02370319351835321
call,-0.014694292318976933,5.071708571971166e-13,185416,-0.018876215703649103,1.574123264479508e-10,91124,-0.00418192338467217
open,0.022892245399678525,2.6676723424990827e-30,185416,0.018429018156576563,1.2803486608087875e-10,91124,-0.004463227243101962
