outcome,full_coef,full_p,full_n,balanced_coef,balanced_p,balanced_n
otm,0.04093596725459567,1.8319158378055007e-40,177247,0.03881321801397632,2.742111712553776e-39,91124
otm_put,0.021082342861980796,1.229972387343529e-13,177247,0.022580759195425952,2.129584959880479e-17,91124
otm_call,0.019853624392609272,4.4074046860321364e-11,177247,0.016232458818553765,1.4230154110880307e-8,91124
itm,0.0018624835384589335,0.43666955346963887,177247,-0.016968968204430595,9.519395871225549e-15,91124
lt_100,0.02525955716416546,8.792929403474047e-27,177247,-0.013331742654864392,5.5178273075951355e-6,91124
call,-0.008647959526745784,0.005292279178185753,177247,-0.018876215703652284,1.5741232644681418e-10,91124
open,0.015104063912534535,4.2802880153859185e-8,177247,0.018429018156573513,1.2803486608177045e-10,91124
