outcome,did_base,p_base,did_ctrl,p_ctrl,cross_ctrl,p_cross,size_did,p_size
otm,-0.0078723134926137,0.008619197290106215,-0.0038366883626925552,0.20994877292344283,-0.003801477579320745,0.06183163326462176,0.01950434521322241,9.330091745738566e-10
otm_put,-0.007444777508187337,0.008642597419318125,-0.004533217744242436,0.12016783952123519,0.0030534070361622617,0.1273959340398416,0.015217012723558635,6.738884653550739e-8
otm_call,-0.00042753598442649566,0.8914630777133923,0.0006965293815495929,0.8277075871349917,-0.006854884615483103,0.0012618087613046206,0.004287332489663724,0.18422043465563964
itm,0.0009521151592321644,0.7025755419200803,-0.0019115040206306552,0.4525798121164588,0.0019618253660811952,0.23026669689238233,-0.015283920228171823,1.4598908509295136e-8
lt_100,0.002601270218459996,0.2501490648359681,0.00004343160034839255,0.984824709813353,-0.0038607893843606595,0.05325122673825553,-0.012548812583137638,1.6723504703595326e-6
call,0.005405805081339132,0.08875103184802499,0.0031268018413461223,0.3327943467109369,-0.005550580682756232,0.010338100759157092,-0.01380298154329684,0.00001601837185898527
open,-0.003788606786798175,0.1664391439582833,-0.0018742794304508353,0.5078595784735452,0.00735042479023715,0.00033952364654950436,0.009979954542751069,0.0006727653928750647
